epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2149,2.29663,4.77761,2.37152,0.00114,0.34286,0.00281,0.0006,3.04975,4.99877,3.04632,0.00016,0.00016,0.00016
2,93.8138,1.50637,3.43119,1.66012,0.00086,0.25714,0.01052,0.00255,3.24146,4.92888,2.93177,0.00030634,0.00030634,0.00030634
3,139.5,0.88962,2.42174,1.17304,0.00314,0.94286,0.15091,0.04001,2.20131,4.17732,2.16336,0.00041704,0.00041704,0.00041704
4,184.882,0.75099,1.91611,1.02122,0.00525,0.91429,0.50923,0.17375,1.86617,3.29876,1.80155,0.0004921,0.0004921,0.0004921
5,230.174,0.59536,1.52377,0.92239,0.95055,0.85714,0.91581,0.70878,1.30535,2.26204,1.21342,0.00053152,0.00053152,0.00053152
6,275.667,0.55194,1.3632,0.8872,0.99614,0.88571,0.93458,0.79088,0.90045,1.65237,0.96909,0.0005353,0.0005353,0.0005353
7,320.774,0.47265,1.22354,0.86217,0.97053,0.94111,0.94365,0.80851,0.74331,1.27584,0.85939,0.00050344,0.00050344,0.00050344
8,365.842,0.44531,1.15256,0.84615,0.99791,0.94286,0.94546,0.83642,0.62485,1.10933,0.8287,0.00043594,0.00043594,0.00043594
9,411.196,0.47232,1.15183,0.85615,0.99758,0.94286,0.97352,0.89096,0.5456,1.06577,0.81695,0.0003328,0.0003328,0.0003328
10,456.25,0.42025,1.11986,0.8337,0.99717,0.94286,0.98223,0.91968,0.52857,1.00617,0.80839,0.00019402,0.00019402,0.00019402
